Year,County,PDI Number,PDI,Observed,Expected,"Risk Adjusted Rate Per 100,000 People",Difference in Rates
2009,Allegany,PDI_18,Urinary Tract Infection,9.91,29.26,14.81,-19.36
2010,Allegany,PDI_18,Urinary Tract Infection,20.27,29.38,29.03,-9.11
2011,Allegany,PDI_18,Urinary Tract Infection,99.17,26.82,146.21,72.34
2012,Allegany,PDI_18,Urinary Tract Infection,0,24.12,0,-24.12
2009,Allegany,PDI_90,Pediatric Quality Overall Composite,197.46,160.05,329.98,37.42
2010,Allegany,PDI_90,Pediatric Quality Overall Composite,131.2,136.85,225.82,-5.66
2011,Allegany,PDI_90,Pediatric Quality Overall Composite,312.06,140.4,513.93,171.66
2012,Allegany,PDI_90,Pediatric Quality Overall Composite,120.31,119.73,225.74,0.57
2009,Allegany,PDI_91,Pediatric Quality Acute Composite,70.52,57.77,89.39,12.75
2010,Allegany,PDI_91,Pediatric Quality Acute Composite,72.89,56.63,91.81,16.25
2011,Allegany,PDI_91,Pediatric Quality Acute Composite,170.21,52.65,206.21,117.57
2012,Allegany,PDI_91,Pediatric Quality Acute Composite,53.47,42.86,72.24,10.61
2009,Allegany,PDI_92,Pediatric Quality Chronic Composite,126.94,102.27,241.07,24.67
2010,Allegany,PDI_92,Pediatric Quality Chronic Composite,58.31,80.22,119.36,-21.91
2011,Allegany,PDI_92,Pediatric Quality Chronic Composite,141.84,87.75,270.66,54.09
2012,Allegany,PDI_92,Pediatric Quality Chronic Composite,66.84,76.87,144.99,-10.03
2009,Bronx,PDI_14,Asthma,708.72,377.91,455.4,330.82
2010,Bronx,PDI_14,Asthma,619.06,320.38,397.61,298.69
2011,Bronx,PDI_14,Asthma,651.54,319.44,420.74,332.11
2012,Bronx,PDI_14,Asthma,701.47,330.05,447.15,371.42
2009,Bronx,PDI_15,Diabetes Short-term Complications,50.26,33.58,41.49,16.69
2010,Bronx,PDI_15,Diabetes Short-term Complications,46.51,29.71,38.72,16.8
2011,Bronx,PDI_15,Diabetes Short-term Complications,45.11,30.17,37.31,14.94
2012,Bronx,PDI_15,Diabetes Short-term Complications,41.28,30.24,32.41,11.04
2009,Bronx,PDI_16,Gastroenteritis,197.82,160.81,160.32,37.01
2010,Bronx,PDI_16,Gastroenteritis,173.49,141.01,126.16,32.48
2011,Bronx,PDI_16,Gastroenteritis,139.01,123.61,112.2,15.41
2012,Bronx,PDI_16,Gastroenteritis,185.28,120.56,135.07,64.73
2009,Bronx,PDI_18,Urinary Tract Infection,71.7,62.1,50.51,9.6
2010,Bronx,PDI_18,Urinary Tract Infection,54.22,59.55,38.32,-5.33
2011,Bronx,PDI_18,Urinary Tract Infection,58.2,55.77,41.28,2.44
2012,Bronx,PDI_18,Urinary Tract Infection,43.63,45.39,32.7,-1.76
2009,Bronx,PDI_90,Pediatric Quality Overall Composite,671.21,398.06,450.99,273.16
2010,Bronx,PDI_90,Pediatric Quality Overall Composite,572.91,349.74,385.87,223.18
2011,Bronx,PDI_90,Pediatric Quality Overall Composite,603.06,339.51,410.71,263.55
2012,Bronx,PDI_90,Pediatric Quality Overall Composite,642.95,340.15,424.66,302.8
2009,Bronx,PDI_91,Pediatric Quality Acute Composite,117.54,95.06,90.55,22.48
2010,Bronx,PDI_91,Pediatric Quality Acute Composite,100.83,91.53,78.59,9.3
2011,Bronx,PDI_91,Pediatric Quality Acute Composite,94.97,80.74,75.02,14.23
2012,Bronx,PDI_91,Pediatric Quality Acute Composite,106.32,76.06,80.95,30.26
2009,Bronx,PDI_92,Pediatric Quality Chronic Composite,553.67,303,354.92,250.68
2010,Bronx,PDI_92,Pediatric Quality Chronic Composite,472.09,258.21,300.24,213.88
2011,Bronx,PDI_92,Pediatric Quality Chronic Composite,508.09,258.77,328.77,249.32
2012,Bronx,PDI_92,Pediatric Quality Chronic Composite,536.64,264.1,338.85,272.54
2009,Broome,PDI_14,Asthma,105.39,158.64,161.33,-53.25
2010,Broome,PDI_14,Asthma,82.23,134.82,125.51,-52.59
2011,Broome,PDI_14,Asthma,106.05,137.38,159.24,-31.33
2012,Broome,PDI_14,Asthma,112.46,145.82,162.25,-33.37
2009,Broome,PDI_15,Diabetes Short-term Complications,62.5,24.37,71.07,38.12
2010,Broome,PDI_15,Diabetes Short-term Complications,33.97,21.91,38.34,12.06
2011,Broome,PDI_15,Diabetes Short-term Complications,63.55,22.54,70.34,41.01
2012,Broome,PDI_15,Diabetes Short-term Complications,73.24,21.2,82.02,52.04
2009,Broome,PDI_16,Gastroenteritis,87.28,113.91,99.86,-26.63
2010,Broome,PDI_16,Gastroenteritis,75.36,82.41,93.77,-7.05
2011,Broome,PDI_16,Gastroenteritis,77.37,87.58,88.14,-10.21
2012,Broome,PDI_16,Gastroenteritis,55.81,73.33,66.9,-17.51
2009,Broome,PDI_18,Urinary Tract Infection,43.64,33.35,57.25,10.29
2010,Broome,PDI_18,Urinary Tract Infection,51.97,33.25,65.78,18.72
2011,Broome,PDI_18,Urinary Tract Infection,46.42,31,59.23,15.43
2012,Broome,PDI_18,Urinary Tract Infection,46.11,29.64,52.91,16.46
2009,Broome,PDI_90,Pediatric Quality Overall Composite,213.22,189.52,300.91,23.7
2010,Broome,PDI_90,Pediatric Quality Overall Composite,158.54,168,222.29,-9.46
2011,Broome,PDI_90,Pediatric Quality Overall Composite,160.75,169.27,219.58,-8.52
2012,Broome,PDI_90,Pediatric Quality Overall Composite,184.83,165.76,250.51,19.07
2009,Broome,PDI_91,Pediatric Quality Acute Composite,58.82,61.82,69.67,-3
2010,Broome,PDI_91,Pediatric Quality Acute Composite,75.5,60.9,88.44,14.6
2011,Broome,PDI_91,Pediatric Quality Acute Composite,37.38,55.76,42.76,-18.38
2012,Broome,PDI_91,Pediatric Quality Acute Composite,52.31,50.4,60.1,1.91
2009,Broome,PDI_92,Pediatric Quality Chronic Composite,154.4,127.7,234.85,26.71
2010,Broome,PDI_92,Pediatric Quality Chronic Composite,83.05,107.11,127.33,-24.06
2011,Broome,PDI_92,Pediatric Quality Chronic Composite,123.36,113.51,181.99,9.86
2012,Broome,PDI_92,Pediatric Quality Chronic Composite,132.52,115.36,191.56,17.16
2009,Cattaraugus,PDI_14,Asthma,170.37,152.3,271.64,18.07
2010,Cattaraugus,PDI_14,Asthma,166.04,124.76,273.87,41.29
2011,Cattaraugus,PDI_14,Asthma,87.29,129.3,139.26,-42.01
2012,Cattaraugus,PDI_14,Asthma,33.74,142.46,49.83,-108.72
2009,Cattaraugus,PDI_15,Diabetes Short-term Complications,8.1,24.89,9.02,-16.79
2010,Cattaraugus,PDI_15,Diabetes Short-term Complications,16.49,22.31,18.28,-5.82
2011,Cattaraugus,PDI_15,Diabetes Short-term Complications,32.33,23.06,34.98,9.27
2012,Cattaraugus,PDI_15,Diabetes Short-term Complications,38.83,22.15,41.6,16.67
2009,Cattaraugus,PDI_16,Gastroenteritis,245.48,116.96,273.55,128.52
2010,Cattaraugus,PDI_16,Gastroenteritis,90.09,82.41,112.09,7.68
2011,Cattaraugus,PDI_16,Gastroenteritis,77.34,89.36,86.35,-12.02
2012,Cattaraugus,PDI_16,Gastroenteritis,16.02,76.72,18.35,-60.7
2009,Cattaraugus,PDI_18,Urinary Tract Infection,39.05,33.34,51.25,5.71
2010,Cattaraugus,PDI_18,Urinary Tract Infection,50.67,33.78,63.13,16.89
2011,Cattaraugus,PDI_18,Urinary Tract Infection,44.2,32.12,54.43,12.08
2012,Cattaraugus,PDI_18,Urinary Tract Infection,10.68,31.75,11.45,-21.07
2009,Cattaraugus,PDI_90,Pediatric Quality Overall Composite,129.57,186.61,185.7,-57.05
2010,Cattaraugus,PDI_90,Pediatric Quality Overall Composite,214.4,161.77,312.19,52.63
2011,Cattaraugus,PDI_90,Pediatric Quality Overall Composite,185.89,167.5,256.61,18.39
2012,Cattaraugus,PDI_90,Pediatric Quality Overall Composite,85.42,167.23,114.76,-81.81
2009,Cattaraugus,PDI_91,Pediatric Quality Acute Composite,56.69,62.18,66.76,-5.49
2010,Cattaraugus,PDI_91,Pediatric Quality Acute Composite,82.46,61.93,94.99,20.54
2011,Cattaraugus,PDI_91,Pediatric Quality Acute Composite,64.66,57.91,71.22,6.75
2012,Cattaraugus,PDI_91,Pediatric Quality Acute Composite,31.06,53.78,33.44,-22.72
2009,Cattaraugus,PDI_92,Pediatric Quality Chronic Composite,72.88,124.44,113.76,-51.56
2010,Cattaraugus,PDI_92,Pediatric Quality Chronic Composite,131.94,99.84,217.01,32.1
2011,Cattaraugus,PDI_92,Pediatric Quality Chronic Composite,121.23,109.59,185.22,11.64
2012,Cattaraugus,PDI_92,Pediatric Quality Chronic Composite,54.36,113.44,79.9,-59.09
2009,Cayuga,PDI_14,Asthma,99.55,130.93,184.62,-31.38
2010,Cayuga,PDI_14,Asthma,70.02,110.53,130.37,-40.5
2011,Cayuga,PDI_14,Asthma,108.46,112.19,199.42,-3.73
2012,Cayuga,PDI_14,Asthma,67.14,123.4,114.48,-56.25
2009,Cayuga,PDI_15,Diabetes Short-term Complications,33.21,23.73,38.79,9.48
2010,Cayuga,PDI_15,Diabetes Short-term Complications,17.18,21.38,19.88,-4.19
2011,Cayuga,PDI_15,Diabetes Short-term Complications,25.86,22.08,29.21,3.78
2012,Cayuga,PDI_15,Diabetes Short-term Complications,24.57,20.18,28.91,4.4
2009,Cayuga,PDI_16,Gastroenteritis,100.93,105.34,124.88,-4.41
2010,Cayuga,PDI_16,Gastroenteritis,54.6,74.18,75.47,-19.58
2011,Cayuga,PDI_16,Gastroenteritis,72.91,81.64,89.11,-8.72
2012,Cayuga,PDI_16,Gastroenteritis,63.96,67.81,82.9,-3.85
2009,Cayuga,PDI_18,Urinary Tract Infection,35.62,29.87,52.18,5.76
2010,Cayuga,PDI_18,Urinary Tract Infection,60.67,30.75,83.02,29.91
2011,Cayuga,PDI_18,Urinary Tract Infection,48.61,28.47,67.52,20.14
2012,Cayuga,PDI_18,Urinary Tract Infection,11.63,27.89,14.18,-16.26
2009,Cayuga,PDI_90,Pediatric Quality Overall Composite,190.94,169.55,301.19,21.39
2010,Cayuga,PDI_90,Pediatric Quality Overall Composite,163.24,149.57,257.09,13.68
2011,Cayuga,PDI_90,Pediatric Quality Overall Composite,198.26,151.26,303.06,47
2012,Cayuga,PDI_90,Pediatric Quality Overall Composite,114.68,148.13,173.94,-33.45
2009,Cayuga,PDI_91,Pediatric Quality Acute Composite,74.71,59.15,92.49,15.56
2010,Cayuga,PDI_91,Pediatric Quality Acute Composite,85.92,58.56,104.66,27.36
2011,Cayuga,PDI_91,Pediatric Quality Acute Composite,77.58,53.98,91.66,23.6
2012,Cayuga,PDI_91,Pediatric Quality Acute Composite,32.77,48.44,39.17,-15.67
2009,Cayuga,PDI_92,Pediatric Quality Chronic Composite,116.22,110.4,204.48,5.82
2010,Cayuga,PDI_92,Pediatric Quality Chronic Composite,77.33,91.01,139.53,-13.68
2011,Cayuga,PDI_92,Pediatric Quality Chronic Composite,120.68,97.28,207.72,23.4
2012,Cayuga,PDI_92,Pediatric Quality Chronic Composite,81.91,99.69,137.03,-17.77
2009,Chautauqua,PDI_14,Asthma,74.78,143.81,126.28,-69.02
2010,Chautauqua,PDI_14,Asthma,79.23,121.56,134.12,-42.33
2011,Chautauqua,PDI_14,Asthma,63.22,123.14,105.89,-59.93
2012,Chautauqua,PDI_14,Asthma,49.88,131.68,79.7,-81.8
2009,Chautauqua,PDI_15,Diabetes Short-term Complications,15.16,24.07,17.46,-8.91
2010,Chautauqua,PDI_15,Diabetes Short-term Complications,30.96,21.52,35.59,9.45
2011,Chautauqua,PDI_15,Diabetes Short-term Complications,30.68,22.13,34.58,8.55
2012,Chautauqua,PDI_15,Diabetes Short-term Complications,9.71,20.78,11.09,-11.07
2009,Chautauqua,PDI_16,Gastroenteritis,110.49,111.14,129.57,-0.65
2010,Chautauqua,PDI_16,Gastroenteritis,50.28,80.4,64.12,-30.12
2011,Chautauqua,PDI_16,Gastroenteritis,53.06,86.36,61.3,-33.3
2012,Chautauqua,PDI_16,Gastroenteritis,27.14,72.1,33.08,-44.96
2009,Chautauqua,PDI_18,Urinary Tract Infection,28.51,32.55,38.32,-4.04
2010,Chautauqua,PDI_18,Urinary Tract Infection,21.55,33.76,26.86,-12.22
2011,Chautauqua,PDI_18,Urinary Tract Infection,14.15,31.45,17.79,-17.3
2012,Chautauqua,PDI_18,Urinary Tract Infection,16.96,29.84,19.34,-12.88
2009,Chautauqua,PDI_90,Pediatric Quality Overall Composite,126.33,182.24,185.41,-55.91
2010,Chautauqua,PDI_90,Pediatric Quality Overall Composite,118.68,159.77,174.97,-41.09
2011,Chautauqua,PDI_90,Pediatric Quality Overall Composite,102.27,162.46,145.55,-60.19
2012,Chautauqua,PDI_90,Pediatric Quality Overall Composite,67.94,158.08,96.55,-90.15
2009,Chautauqua,PDI_91,Pediatric Quality Acute Composite,65.69,61.92,77.69,3.77
2010,Chautauqua,PDI_91,Pediatric Quality Acute Composite,46.44,61.22,54.11,-14.78
2011,Chautauqua,PDI_91,Pediatric Quality Acute Composite,25.57,56.8,28.71,-31.23
2012,Chautauqua,PDI_91,Pediatric Quality Acute Composite,19.41,51.19,21.96,-31.78
2009,Chautauqua,PDI_92,Pediatric Quality Chronic Composite,60.64,120.32,97.89,-59.68
2010,Chautauqua,PDI_92,Pediatric Quality Chronic Composite,72.24,98.55,120.37,-26.31
2011,Chautauqua,PDI_92,Pediatric Quality Chronic Composite,76.7,105.66,121.55,-28.96
2012,Chautauqua,PDI_92,Pediatric Quality Chronic Composite,48.53,106.89,75.7,-58.36
2009,Chemung,PDI_14,Asthma,204.42,159.07,312.07,45.35
2010,Chemung,PDI_14,Asthma,145.9,135.07,222.28,10.84
2011,Chemung,PDI_14,Asthma,153.24,138.66,227.97,14.58
2012,Chemung,PDI_14,Asthma,126.95,156.15,171.05,-29.2
2009,Chemung,PDI_15,Diabetes Short-term Complications,30.48,24.64,34.29,5.84
2010,Chemung,PDI_15,Diabetes Short-term Complications,31.15,22.17,34.74,8.97
2011,Chemung,PDI_15,Diabetes Short-term Complications,38.03,22.66,41.87,15.37
2012,Chemung,PDI_15,Diabetes Short-term Complications,43.95,21.98,47.46,21.97
2009,Chemung,PDI_16,Gastroenteritis,382.8,115.51,431.94,267.29
2010,Chemung,PDI_16,Gastroenteritis,85.07,83.19,104.85,1.88
2011,Chemung,PDI_16,Gastroenteritis,155.43,89.54,173.18,65.89
2012,Chemung,PDI_16,Gastroenteritis,95.36,78.16,107.22,17.19
2009,Chemung,PDI_18,Urinary Tract Infection,78.66,32.63,105.46,46.03
2010,Chemung,PDI_18,Urinary Tract Infection,63.8,33.19,80.91,30.62
2011,Chemung,PDI_18,Urinary Tract Infection,88.08,31.21,111.62,56.87
2012,Chemung,PDI_18,Urinary Tract Infection,60.23,31.42,65.21,28.81
2009,Chemung,PDI_90,Pediatric Quality Overall Composite,312.45,190.14,439.52,122.32
2010,Chemung,PDI_90,Pediatric Quality Overall Composite,303.67,167.2,427.81,136.47
2011,Chemung,PDI_90,Pediatric Quality Overall Composite,266.18,169.49,363.13,96.69
2012,Chemung,PDI_90,Pediatric Quality Overall Composite,197.76,173.77,255.68,23.99
2009,Chemung,PDI_91,Pediatric Quality Acute Composite,144.8,61.59,172.16,83.2
2010,Chemung,PDI_91,Pediatric Quality Acute Composite,116.8,60.79,137.07,56.01
2011,Chemung,PDI_91,Pediatric Quality Acute Composite,121.68,55.95,138.71,65.73
2012,Chemung,PDI_91,Pediatric Quality Acute Composite,80.57,52.65,88.62,27.92
2009,Chemung,PDI_92,Pediatric Quality Chronic Composite,167.66,128.54,253.33,39.11
2010,Chemung,PDI_92,Pediatric Quality Chronic Composite,186.87,106.42,288.37,80.46
2011,Chemung,PDI_92,Pediatric Quality Chronic Composite,144.5,113.54,213.1,30.96
2012,Chemung,PDI_92,Pediatric Quality Chronic Composite,117.19,121.13,161.34,-3.94
2009,Chenango,PDI_14,Asthma,66.51,129.39,124.82,-62.89
2010,Chenango,PDI_14,Asthma,39.26,99.88,80.89,-60.61
2011,Chenango,PDI_14,Asthma,38.04,99.74,78.68,-61.69
2012,Chenango,PDI_14,Asthma,72.43,98.34,154.97,-25.9
2009,Chenango,PDI_15,Diabetes Short-term Complications,0,23.29,0,-23.29
2013,Tioga,PDI_14,Asthma,62.99,86.24,149.83,-23.25
2010,Chenango,PDI_15,Diabetes Short-term Complications,26.6,20.41,32.22,6.18
2011,Chenango,PDI_15,Diabetes Short-term Complications,25.59,21.35,29.91,4.24
2012,Chenango,PDI_15,Diabetes Short-term Complications,24.12,18.51,30.92,5.61
2009,Chenango,PDI_16,Gastroenteritis,63.62,105.19,78.82,-41.58
2010,Chenango,PDI_16,Gastroenteritis,28.12,70.03,41.17,-41.92
2011,Chenango,PDI_16,Gastroenteritis,45.5,76.7,59.18,-31.2
2012,Chenango,PDI_16,Gastroenteritis,26.01,58.45,39.11,-32.44
2009,Chenango,PDI_18,Urinary Tract Infection,18.18,28.15,28.25,-9.97
2010,Chenango,PDI_18,Urinary Tract Infection,65.6,28.33,97.46,37.27
2011,Chenango,PDI_18,Urinary Tract Infection,9.1,25.72,13.99,-16.62
2012,Chenango,PDI_18,Urinary Tract Infection,52.03,24.09,73.46,27.93
2009,Chenango,PDI_90,Pediatric Quality Overall Composite,127.63,166.82,204.63,-39.19
2010,Chenango,PDI_90,Pediatric Quality Overall Composite,106.38,139.76,179.3,-33.37
2011,Chenango,PDI_90,Pediatric Quality Overall Composite,63.97,141.37,104.63,-77.4
2012,Chenango,PDI_90,Pediatric Quality Overall Composite,132.64,126.84,234.95,5.8
2009,Chenango,PDI_91,Pediatric Quality Acute Composite,51.05,57.83,64.65,-6.77
2010,Chenango,PDI_91,Pediatric Quality Acute Composite,53.19,56.53,67.12,-3.34
2011,Chenango,PDI_91,Pediatric Quality Acute Composite,25.59,51.99,31.39,-26.4
2012,Chenango,PDI_91,Pediatric Quality Acute Composite,36.18,43.97,47.64,-7.8
2009,Chenango,PDI_92,Pediatric Quality Chronic Composite,76.58,108.99,136.47,-32.41
2010,Chenango,PDI_92,Pediatric Quality Chronic Composite,53.19,83.22,104.96,-30.03
2011,Chenango,PDI_92,Pediatric Quality Chronic Composite,38.38,89.38,71.91,-50.99
2012,Chenango,PDI_92,Pediatric Quality Chronic Composite,96.47,82.87,194.13,13.6
2009,Clinton,PDI_14,Asthma,134.94,122.99,266.44,11.96
2010,Clinton,PDI_14,Asthma,83.42,102.18,168,-18.76
2011,Clinton,PDI_14,Asthma,132.29,103.76,262.99,28.53
2012,Clinton,PDI_14,Asthma,79.97,103.98,161.81,-24.01
2009,Clinton,PDI_15,Diabetes Short-term Complications,9.1,23.28,10.83,-14.18
2010,Clinton,PDI_15,Diabetes Short-term Complications,28.44,20.66,34.05,7.78
2011,Clinton,PDI_15,Diabetes Short-term Complications,0,21.47,0,-21.47
2012,Clinton,PDI_15,Diabetes Short-term Complications,27.09,19.04,33.77,8.05
2009,Clinton,PDI_16,Gastroenteritis,70.51,105.63,87,-35.12
2010,Clinton,PDI_16,Gastroenteritis,52.78,72.41,74.74,-19.63
2011,Clinton,PDI_16,Gastroenteritis,72.71,80.53,90.08,-7.82
2012,Clinton,PDI_16,Gastroenteritis,69.62,61.83,98.96,7.79
2009,Clinton,PDI_18,Urinary Tract Infection,6.41,29.28,9.58,-22.87
2010,Clinton,PDI_18,Urinary Tract Infection,39.58,29.94,55.65,9.65
2011,Clinton,PDI_18,Urinary Tract Infection,26.44,27.56,37.93,-1.12
2012,Clinton,PDI_18,Urinary Tract Infection,25.32,25.79,33.4,-0.47
2009,Clinton,PDI_90,Pediatric Quality Overall Composite,100.06,160.2,167.06,-60.14
2010,Clinton,PDI_90,Pediatric Quality Overall Composite,142.22,140.46,238.51,1.76
2011,Clinton,PDI_90,Pediatric Quality Overall Composite,142.99,142.28,232.37,0.71
2012,Clinton,PDI_90,Pediatric Quality Overall Composite,90.29,130.57,155.35,-40.29
2009,Clinton,PDI_91,Pediatric Quality Acute Composite,36.39,57.66,46.21,-21.28
2010,Clinton,PDI_91,Pediatric Quality Acute Composite,56.89,56.76,71.5,0.13
2011,Clinton,PDI_91,Pediatric Quality Acute Composite,47.66,52.44,57.97,-4.78
2012,Clinton,PDI_91,Pediatric Quality Acute Composite,9.03,44.84,11.66,-35.81
2009,Clinton,PDI_92,Pediatric Quality Chronic Composite,63.68,102.54,120.62,-38.86
2010,Clinton,PDI_92,Pediatric Quality Chronic Composite,85.33,83.7,167.43,1.64
2011,Clinton,PDI_92,Pediatric Quality Chronic Composite,95.33,89.84,177.67,5.49
2012,Clinton,PDI_92,Pediatric Quality Chronic Composite,81.26,85.73,158.05,-4.48
2009,Columbia,PDI_14,Asthma,49.43,157.43,76.25,-108
2010,Columbia,PDI_14,Asthma,16.93,128.69,27.07,-111.76
2011,Columbia,PDI_14,Asthma,42.83,131.94,66.95,-89.12
2012,Columbia,PDI_14,Asthma,40.14,137.93,61.23,-97.79
2009,Columbia,PDI_15,Diabetes Short-term Complications,21.8,25.67,23.54,-3.87
2010,Columbia,PDI_15,Diabetes Short-term Complications,22.49,22.03,25.25,0.46
2011,Columbia,PDI_15,Diabetes Short-term Complications,22.78,23.05,24.65,-0.27
2012,Columbia,PDI_15,Diabetes Short-term Complications,42.58,20.84,48.5,21.74
2009,Columbia,PDI_16,Gastroenteritis,102.25,108.76,122.54,-6.51
2010,Columbia,PDI_16,Gastroenteritis,24.24,77.65,32.01,-53.41
2011,Columbia,PDI_16,Gastroenteritis,40.89,82.67,49.34,-41.79
2012,Columbia,PDI_16,Gastroenteritis,15.34,70.23,19.2,-54.89
2009,Columbia,PDI_18,Urinary Tract Infection,0,32.19,0,-32.19
2010,Columbia,PDI_18,Urinary Tract Infection,32.32,31.5,43.19,0.82
2011,Columbia,PDI_18,Urinary Tract Infection,0,29.73,0,-29.73
2012,Columbia,PDI_18,Urinary Tract Infection,30.68,28.65,36.43,2.03
2009,Columbia,PDI_90,Pediatric Quality Overall Composite,76.29,191.32,106.66,-115.02
2010,Columbia,PDI_90,Pediatric Quality Overall Composite,101.22,166.23,143.43,-65.01
2011,Columbia,PDI_90,Pediatric Quality Overall Composite,68.33,168.96,93.51,-100.63
